Text,Question,Answer,Template
"Mining should be done so that the landscape is not destroyed .","For what purpose should Mining be done ?","so that the landscape is not destroyed","AmPncQgTemplate"
"The shape of the leaves gives them a lot of surface area to absorb light for photosynthesis .","For what purpose does The shape of the leaves give a lot of surface area them ?","to absorb light for photosynthesis","AmPncQgTemplate"
"Fresh water freezes out of seawater to become sea ice , which also increases the salinity of the remaining water .","For what purpose does Fresh water freeze of seawater ?","to become sea ice , which also increases the salinity of the remaining water","AmPncQgTemplate"
"The chemical symbol has a plus sign to distinguish the ion from an atom of the element .","For what purpose does The chemical symbol have a plus sign ?","to distinguish the ion from an atom of the element","AmPncQgTemplate"
"In fact , using them may do more harm than good because they can irritate the vagina or other reproductive structures .","Why may using them do more harm than good ?","because they can irritate the vagina or other reproductive structures","AmCauQgTemplate"
"Later , at the University of Padua , Copernicus studied medicine , which was closely associated with astrology at that time due to the belief that the stars influenced the dispositions of the body .","Why was medicine associated with astrology closely at that time ?","due to the belief that the stars influenced the dispositions of the body","AmCauQgTemplate"
"These large molecules are called macromolecules because macro means large ; they are made by smaller molecules bonding together .","Why are These large molecules called macromolecules ?","because macro means large","AmCauQgTemplate"
"For this reason , cleaning polluted groundwater is very costly , takes years , and is sometimes not technically feasible .","Why is cleaning polluted groundwater very costly ?","For this reason","AmCauQgTemplate"
"For this reason , cleaning polluted groundwater is very costly , takes years , and is sometimes not technically feasible .","Why does years take cleaning polluted groundwater ?","For this reason","AmCauQgTemplate"
"For this reason , cleaning polluted groundwater is very costly , takes years , and is sometimes not technically feasible .","Why is cleaning polluted groundwater not is technically feasible sometimes ?","For this reason","AmCauQgTemplate"
"They glow with light due to their extremely high temperatures .","Why do They glow with light ?","due to their extremely high temperatures","AmCauQgTemplate"
"For example , before running or playing soccer , a person might jog slowly to warm muscles and increase their heart rate .","For what purpose might a person jog slowly before running or playing soccer ?","to warm muscles and increase their heart rate","AmPncQgTemplate"
"Early sailors and navigators found the Mercator map useful because most explorations were located near the equator .","Why did Early sailors and navigators find the Mercator map useful ?","because most explorations were located near the equator","AmCauQgTemplate"
"Does the plant use some of the energy for its own needs ? Recall the energy is the ability to do work , and the plant has plenty or "" work "" to do .","For what purpose has the plant use some of the energy ?","for its own needs","AmPncQgTemplate"
"Darwin knew that people could breed plants and animals to have useful traits .","For what purpose could people have breed plants and animals ?","to have useful traits","AmPncQgTemplate"
"The changes occur because of the magmas extreme heat .","Why do The changes occur ?","because of the magmas extreme heat","AmCauQgTemplate"
"So to reach his intended destination , the pilot must also veer right while flying north .","For what purpose must the pilot veer right while flying north ?","to reach his intended destination","AmPncQgTemplate"
"As a result , the buoyant force is not as great as the force of gravity acting on the ball .","Why is the buoyant force not is as great as the force of gravity acting on the ball ?","As a result","AmCauQgTemplate"
"Since the volcanoes are cones , the reef forms in a circle around the volcano .","Why does the reef form in a circle around the volcano ?","Since the volcanoes are cones","AmCauQgTemplate"
